,DATASET,ALGORITHM,GENERAL_MAE,GENERAL_RMSE,PTS_MAE,PTS_RMSE,REB_MAE,REB_RMSE,AST_MAE,AST_RMSE
0,TRAIN,MultiTaskLassoCV,3.5781255555450415,5.088779912799043,6.083074308225876,58.86638294513057,2.712200849552621,12.282692265049072,1.9391015088565302,6.537967792541507
1,TEST,MultiTaskLassoCV,3.649804988928693,5.30629812313087,6.376410015731556,65.994977023765,2.592146367987555,11.61878865294627,1.9808585830669811,6.856633637915563
