,DATASET,ALGORITHM,GENERAL_MAE,GENERAL_RMSE,PTS_MAE,PTS_RMSE,REB_MAE,REB_RMSE,AST_MAE,AST_RMSE
0,TRAIN,MultiTaskLasso,3.587445335157387,5.100821447186011,6.097991571120434,59.14517521939639,2.719480346391114,12.339372633302656,1.9448640879604981,6.5705904555194845
1,TEST,MultiTaskLasso,3.658488493958155,5.322671546646627,6.3937614996002825,66.4391048232768,2.59617154801405,11.6500845064606,1.9855324342600993,6.903307850707482
